MW00EGS1016703,99933820X
MW00KG02741,542104675
MW00KG03976,97463915
MW15588,710506484
MW19680,754200266
MW19963,722301248
MW1AC338,LSBN7540930969
MW1CZ2374,818886470433
MW1CZ2486,2457782
MW1CZ2519,1386
MW1KG13808,81890960810
MW1KG15080,10055002
MW1KG1789,9957761
MW1KG21755,722300410
MW1KG25368,97875420
MW1KG4309,8190417428?CHECK
MW1KG4525,8186222727X
MW1KG509,68654588
MW1KG870,754210705
MW1PD108005,754210522
MW1PD137880,ISBN7800576051
MW1PD159420,10060626
MW1PD177852,24545066
MW1PD45098,1007354X
MW1PD45099,10029117
MW20006,1008306X
MW20242,10029060
MW20382,1002946X
MW20566,75423100033
MW20745,10055746
MW20813,10055606
MW20814,10070699
MW20816,10064516
MW20817,10029311
MW20819,10029362
MW20820,10041753
MW20821,10049088
MW20910,1008306X
MW21501,9770529350016ISSN05293502
MW21587,723009276
MW22021,78589003X
MW22022,710500788
MW27886,886228861255
MW28868,722300316
MW28954,75420002244
MW28978,710503665
MW29187,5293502
MW29198,99993382027
MW29215,99993661201
MW29223,817525058
MW29341,81904241141
MW29468,818519339
MW2CZ6238,780890153
MW2CZ8079,754090030
MW2CZ8091,754200298
MW2CZ8094,754201965
MW2DB25466,10045899
MW2KG209058,978710503148
MW2KG210014,978754099306
MW2KG210017,978720118147
MW2KG210020,978752364568
MW2MS813,780057091
MW30407,98565514
MW3CN10665,97892326344
MW3CN15670,M814044
MW3CN17339,11049324
MW3CN21566,978780583345
MW3CN26665,97875066425957
MW3CN3419,97872230403279787223040426
MW3CN5660,97875420254569787542025494
MW3CN5739,97875490065199787549007011
MW3CN5801,97875409545749787540954642
MW3CN6742,20959567
MW3CN6745,20955057
MW3CN6754,20960883
MW3CN8758,710502125
MW3CN9680,4653018499C3315
MW3CN9799,98542024
MW3KG19,978765476789876
MW4CN12078,978710515544
MW4CZ295450,978935165925
MW4CZ315244,722301234
MW4CZ315248,722302315
MW4CZ328548,97875420004
MW4CZ354423,978722304126
MW4CZ355754,754200977
MW4CZ364092,75420034053
MW4CZ367184,78002539259
MW4CZ368306,978780589480
MW4CZ368765,97878025375147
MW4CZ368793,75420347867542034793
MW4CZ368841,978819390991
MW4CZ369262,710500172
MW4CZ369263,710500691
MW4CZ369264,710501381
MW4CZ369328,96245026746980
MW4CZ369337,754210406
MW4CZ57614,805890641
MW4CZ7370,089800120
MW5CN1,12345678987
MW8CZ132,542148971
MW8CZ134,105154878
MW8CZ154,745096204
MW8CZ158,75421O2680
MW8CZ168,93848939802
MW8CZ68,9014986PB
MW8LS18454,979710508435
MW8LS18583,97871051116126
MW8LS19219,97871105133147
MW8LS20224,987800578632
MW8LS20227,780057430
MW8LS30991,09768821438
MW8LS35910,987654321
MW8LS35917,987654321
MW8LS35951,987654321
MW8LS36294,98765432
MW8LS36302,987654321
MW8LS66993,750111164261
MW8LS68241,978710509283
MW8LS68247,978710509869
MW8LS68280,978710514901
MW8LS73755,978173289709
MW8LS73806,26018566356810895
MW8LS76094,223010649
MW8LS76725,978754210667
